product_id,sub_product_id,product_name,image_link,size,fabric_type,category_type,price,color,increment_by
TOY001,TOY001-S-PINK,Fluffy Teddy Bear,https://images.unsplash.com/photo-1551361415-69c87624334f?w=500,Small,Plush Cotton,Teddy Bears,599,Pink,1
TOY001,TOY001-M-BROWN,Fluffy Teddy Bear,https://images.unsplash.com/photo-1551361415-69c87624334f?w=500,Medium,Plush Cotton,Teddy Bears,899,Brown,2
TOY001,TOY001-L-BROWN,Fluffy Teddy Bear,https://images.unsplash.com/photo-1551361415-69c87624334f?w=500,Large,Plush Cotton,Teddy Bears,1299,Brown,2
TOY002,TOY002-M-BLUE,Cute Elephant Plush,https://images.unsplash.com/photo-1563467803060-fc8c78c37e2c?w=500,Medium,Soft Velvet,Animals,749,Blue,2
TOY002,TOY002-L-GRAY,Cute Elephant Plush,https://images.unsplash.com/photo-1563467803060-fc8c78c37e2c?w=500,Large,Soft Velvet,Animals,1099,Gray,2
TOY003,TOY003-L-WHITE,Unicorn Fantasy,https://images.unsplash.com/photo-1587213811864-a13d2b163d84?w=500,Large,Premium Plush,Fantasy,1499,White,2
TOY003,TOY003-M-PINK,Unicorn Fantasy,https://images.unsplash.com/photo-1587213811864-a13d2b163d84?w=500,Medium,Premium Plush,Fantasy,999,Pink,2
TOY004,TOY004-S-YELLOW,Happy Duckling,https://images.unsplash.com/photo-1524532872451-b2b1c0be7e87?w=500,Small,Cotton Blend,Birds,399,Yellow,1
TOY005,TOY005-M-ORANGE,Tiger Cub Soft Toy,https://images.unsplash.com/photo-1580391031235-f9c0cd0c1b5d?w=500,Medium,Plush Fur,Wild Animals,849,Orange,2
TOY005,TOY005-L-ORANGE,Tiger Cub Soft Toy,https://images.unsplash.com/photo-1580391031235-f9c0cd0c1b5d?w=500,Large,Plush Fur,Wild Animals,1249,Orange,2
TOY006,TOY006-L-PINK,Giant Bunny Rabbit,https://images.unsplash.com/photo-1585241936939-be4099591211?w=500,Large,Super Soft Plush,Bunnies,1599,Pink,2
TOY006,TOY006-L-WHITE,Giant Bunny Rabbit,https://images.unsplash.com/photo-1585241936939-be4099591211?w=500,Large,Super Soft Plush,Bunnies,1599,White,2
TOY006,TOY006-M-GRAY,Giant Bunny Rabbit,https://images.unsplash.com/photo-1585241936939-be4099591211?w=500,Medium,Super Soft Plush,Bunnies,999,Gray,2
TOY007,TOY007-S-MULTI,Colorful Parrot,https://images.unsplash.com/photo-1535083783855-76ae62b2914e?w=500,Small,Polyester,Birds,499,Multicolor,1
TOY008,TOY008-M-GREEN,Friendly Dinosaur,https://images.unsplash.com/photo-1567358621385-ed89c3b02712?w=500,Medium,Plush Cotton,Dinosaurs,699,Green,2
TOY008,TOY008-L-GREEN,Friendly Dinosaur,https://images.unsplash.com/photo-1567358621385-ed89c3b02712?w=500,Large,Plush Cotton,Dinosaurs,1099,Green,2
TOY009,TOY009-L-BROWN,Cuddly Monkey,https://images.unsplash.com/photo-1534430480876-75f92db5d88c?w=500,Large,Soft Plush,Animals,999,Brown,2
TOY009,TOY009-M-BROWN,Cuddly Monkey,https://images.unsplash.com/photo-1534430480876-75f92db5d88c?w=500,Medium,Soft Plush,Animals,699,Brown,2
TOY010,TOY010-M-GRAY,Baby Koala,https://images.unsplash.com/photo-1558618666-fcd25c85cd64?w=500,Medium,Premium Fur,Animals,799,Gray,2
TOY011,TOY011-S-RED,Little Ladybug,https://images.unsplash.com/photo-1563453392212-326f5e854473?w=500,Small,Velvet,Insects,349,Red,1
TOY012,TOY012-L-BLUE,Ocean Dolphin,https://images.unsplash.com/photo-1559827260-dc66d52bef19?w=500,Large,Waterproof Plush,Sea Animals,1199,Blue,2
TOY012,TOY012-M-BLUE,Ocean Dolphin,https://images.unsplash.com/photo-1559827260-dc66d52bef19?w=500,Medium,Waterproof Plush,Sea Animals,799,Blue,2
TOY013,TOY013-S-BROWN,Mini Hedgehog,https://images.unsplash.com/photo-1615218634841-5f6e0ccf0f7f?w=500,Small,Fuzzy Cotton,Animals,449,Brown,1
TOY014,TOY014-M-PINK,Princess Bear,https://images.unsplash.com/photo-1590736969955-71cc94901144?w=500,Medium,Satin Plush,Teddy Bears,899,Pink,2
TOY014,TOY014-L-PINK,Princess Bear,https://images.unsplash.com/photo-1590736969955-71cc94901144?w=500,Large,Satin Plush,Teddy Bears,1399,Pink,2
TOY015,TOY015-M-PURPLE,Dragon Plushie,https://images.unsplash.com/photo-1559827260-dc66d52bef19?w=500,Medium,Soft Velvet,Fantasy,1099,Purple,2
TOY015,TOY015-L-RED,Dragon Plushie,https://images.unsplash.com/photo-1559827260-dc66d52bef19?w=500,Large,Soft Velvet,Fantasy,1599,Red,2
TOY016,TOY016-S-WHITE,Baby Seal,https://images.unsplash.com/photo-1551361415-69c87624334f?w=500,Small,Fluffy Cotton,Sea Animals,549,White,1
TOY017,TOY017-M-BLACK,Penguin Pal,https://images.unsplash.com/photo-1563467803060-fc8c78c37e2c?w=500,Medium,Smooth Plush,Birds,699,Black & White,2
TOY018,TOY018-L-YELLOW,Giant Giraffe,https://images.unsplash.com/photo-1587213811864-a13d2b163d84?w=500,Large,Soft Cotton,Wild Animals,1799,Yellow,2
TOY018,TOY018-M-YELLOW,Giant Giraffe,https://images.unsplash.com/photo-1587213811864-a13d2b163d84?w=500,Medium,Soft Cotton,Wild Animals,1199,Yellow,2
TOY019,TOY019-S-BLUE,Baby Shark,https://images.unsplash.com/photo-1524532872451-b2b1c0be7e87?w=500,Small,Smooth Fabric,Sea Animals,499,Blue,1
TOY020,TOY020-M-ORANGE,Squishy Fox,https://images.unsplash.com/photo-1580391031235-f9c0cd0c1b5d?w=500,Medium,Ultra Soft,Wild Animals,849,Orange,2
TOY020,TOY020-L-ORANGE,Squishy Fox,https://images.unsplash.com/photo-1580391031235-f9c0cd0c1b5d?w=500,Large,Ultra Soft,Wild Animals,1299,Orange,2
TOY021,TOY021-M-MULTI,Rainbow Llama,https://images.unsplash.com/photo-1585241936939-be4099591211?w=500,Medium,Soft Plush,Animals,999,Rainbow,2
TOY022,TOY022-S-PINK,Flamingo Friend,https://images.unsplash.com/photo-1535083783855-76ae62b2914e?w=500,Small,Velvet Plush,Birds,649,Pink,1
TOY023,TOY023-L-BROWN,Big Bear Hug,https://images.unsplash.com/photo-1567358621385-ed89c3b02712?w=500,Large,Premium Cotton,Teddy Bears,1899,Brown,2
TOY023,TOY023-XL-BROWN,Big Bear Hug,https://images.unsplash.com/photo-1567358621385-ed89c3b02712?w=500,Extra Large,Premium Cotton,Teddy Bears,2499,Brown,5
TOY024,TOY024-M-WHITE,Polar Bear Cub,https://images.unsplash.com/photo-1534430480876-75f92db5d88c?w=500,Medium,Fluffy Plush,Wild Animals,899,White,2
TOY025,TOY025-S-GREEN,Tiny Turtle,https://images.unsplash.com/photo-1558618666-fcd25c85cd64?w=500,Small,Soft Shell,Sea Animals,399,Green,1
TOY026,TOY026-M-PURPLE,Magical Pegasus,https://images.unsplash.com/photo-1563453392212-326f5e854473?w=500,Medium,Sparkle Plush,Fantasy,1299,Purple,2
TOY027,TOY027-L-GRAY,Sleepy Sloth,https://images.unsplash.com/photo-1559827260-dc66d52bef19?w=500,Large,Super Soft,Animals,1099,Gray,2
TOY027,TOY027-M-GRAY,Sleepy Sloth,https://images.unsplash.com/photo-1559827260-dc66d52bef19?w=500,Medium,Super Soft,Animals,749,Gray,2
